id_pelanggan,kota_kabupaten_pelanggan,provinsi_pelanggan
CUST000125,Rejang Lebong,Bengkulu
CUST000126,Medan,Sumatera Utara
CUST000127,Bengkulu Selatan,Bengkulu
CUST000128,Bengkulu Tengah,Bengkulu
CUST000129,Lampung Utara,Lampung
CUST000130,Banda Aceh,Aceh
CUST000131,Sabang,Aceh
CUST000132,Ogan Komering Ilir,Sumatera Selatan
CUST000133,Binjai,Sumatera Utara
CUST000134,Dumai,Riau
CUST000135,Bangka Selatan,Kepulauan Bangka Belitung
CUST000136,Payakumbuh,Sumatera Barat
CUST000137,Padangpanjang,Sumatera Barat
CUST000138,Metro,Lampung
CUST000139,Pematangsiantar,Sumatera Utara
CUST000140,Pangkalpinang,Kepulauan Bangka Belitung
CUST000141,Subulussalam,Aceh
CUST000142,Banda Aceh,Aceh
CUST000143,Dumai,Riau
CUST000144,Bengkulu Tengah,Bengkulu
CUST000145,Metro,Lampung
CUST000146,Bengkulu,Bengkulu
CUST000147,Payakumbuh,Sumatera Barat
CUST000148,Sabang,Aceh
CUST000149,Muaro Jambi,Jambi
CUST000150,Lampung Barat,Lampung
CUST000151,Kaur,Bengkulu
CUST000152,Belitung,Kepulauan Bangka Belitung
CUST000153,Metro,Lampung
CUST000154,Bengkalis,Riau
CUST000155,Pekanbaru,Riau
CUST000156,Natuna,Kepulauan Riau
CUST000157,Pangkalpinang,Kepulauan Bangka Belitung
CUST000158,Palembang,Sumatera Selatan
CUST000159,Subulussalam,Aceh
CUST000160,Lampung Tengah,Lampung
CUST000161,Bangka,Kepulauan Bangka Belitung
CUST000162,Subulussalam,Aceh
CUST000163,Tebing Tinggi,Sumatera Utara
CUST000164,Padang,Sumatera Barat
CUST000165,Tanjungpinang,Kepulauan Riau
CUST000166,Indragiri Hilir,Riau
CUST000167,Sibolga,Sumatera Utara
CUST000168,Indragiri Hulu,Riau
CUST000169,Tanjungpinang,Kepulauan Riau
CUST000170,Tanjungpinang,Kepulauan Riau
CUST000171,Kaur,Bengkulu
CUST000172,Lingga,Kepulauan Riau
CUST000173,Bangka Barat,Kepulauan Bangka Belitung
CUST000174,Sungai Penuh,Jambi
CUST000175,Lubuklinggau,Sumatera Selatan
CUST000176,Bungo,Jambi
CUST000177,Solok,Sumatera Barat
CUST000178,Bungo,Jambi
CUST000179,Ogan Komering Ilir,Sumatera Selatan
CUST000180,Medan,Sumatera Utara
CUST000181,Lampung Tengah,Lampung
CUST000182,Tanjungpinang,Kepulauan Riau
CUST000183,Sibolga,Sumatera Utara
CUST000184,Indragiri Hulu,Riau
CUST000185,Sungai Penuh,Jambi
CUST000186,Palembang,Sumatera Selatan
CUST000187,Bengkalis,Riau
CUST000188,Sungai Penuh,Jambi
CUST000189,Lampung Utara,Lampung
CUST000190,Belitung,Kepulauan Bangka Belitung
CUST000191,Kerinci,Jambi
CUST000192,Pangkalpinang,Kepulauan Bangka Belitung
CUST000193,Bangka Barat,Kepulauan Bangka Belitung
CUST000194,Binjai,Sumatera Utara
CUST000195,Jambi,Jambi
CUST000196,Tanjungbalai,Sumatera Utara
CUST000197,Bangka,Kepulauan Bangka Belitung
CUST000198,Batanghari,Jambi
CUST000199,Batam,Kepulauan Riau
CUST000200,Lubuklinggau,Sumatera Selatan
CUST000201,Kerinci,Jambi
CUST000202,Lampung Barat,Lampung
CUST000203,Banda Aceh,Aceh
CUST000204,Kepahiang,Bengkulu
CUST000205,Jambi,Jambi
CUST000206,Lhokseumawe,Aceh
CUST000207,Solok,Sumatera Barat
CUST000208,Sungai Penuh,Jambi
CUST000209,Lampung Tengah,Lampung
CUST000210,Bengkulu Utara,Bengkulu
CUST000211,Banda Aceh,Aceh
CUST000212,Tanjungbalai,Sumatera Utara
CUST000213,Sawahlunto,Sumatera Barat
CUST000214,Lhokseumawe,Aceh
CUST000215,Lingga,Kepulauan Riau
CUST000216,Payakumbuh,Sumatera Barat
CUST000217,Padang,Sumatera Barat
CUST000218,Batanghari,Jambi
CUST000219,Lhokseumawe,Aceh
CUST000220,Kampar,Riau
CUST000221,Kampar,Riau
CUST000222,Padangsidimpuan,Sumatera Utara
CUST000223,Belitung Timur,Kepulauan Bangka Belitung
CUST000224,Bengkulu Utara,Bengkulu
CUST000225,Bukittinggi,Sumatera Barat
CUST000226,Pariaman,Sumatera Barat
CUST000227,Payakumbuh,Sumatera Barat
CUST000228,Langsa,Aceh
CUST000229,Ogan Komering Ilir,Sumatera Selatan
CUST000230,Kepahiang,Bengkulu
CUST000231,Bengkalis,Riau
CUST000232,Pariaman,Sumatera Barat
CUST000233,Pematangsiantar,Sumatera Utara
CUST000234,Sabang,Aceh
CUST000235,Dumai,Riau
CUST000236,Lampung Barat,Lampung
CUST000237,Muaro Jambi,Jambi
CUST000238,Dumai,Riau
CUST000239,Langsa,Aceh
CUST000240,Bengkulu Selatan,Bengkulu
CUST000241,Muaro Jambi,Jambi
CUST000242,Tebing Tinggi,Sumatera Utara
CUST000243,Batanghari,Jambi
CUST000244,Bangka Selatan,Kepulauan Bangka Belitung
CUST000245,Bangka Barat,Kepulauan Bangka Belitung
CUST000246,Banda Aceh,Aceh
CUST000247,Sungai Penuh,Jambi
CUST000248,Bintan,Kepulauan Riau
CUST000249,Banda Aceh,Aceh
CUST000250,Karimun,Kepulauan Riau
CUST000251,Musi Banyuasin,Sumatera Selatan
CUST000252,Prabumulih,Sumatera Selatan
CUST000253,Lingga,Kepulauan Riau
CUST000254,Pematangsiantar,Sumatera Utara
CUST000255,Batam,Kepulauan Riau
CUST000256,Jambi,Jambi
CUST000257,Bengkulu,Bengkulu
CUST000258,Belitung Timur,Kepulauan Bangka Belitung
CUST000259,Belitung,Kepulauan Bangka Belitung
CUST000260,Bengkalis,Riau
CUST000261,Bengkulu,Bengkulu
CUST000262,Lahat,Sumatera Selatan
CUST000263,Musi Banyuasin,Sumatera Selatan
CUST000264,Tanjungbalai,Sumatera Utara
CUST000265,Kerinci,Jambi
CUST000266,Merangin,Jambi
CUST000267,Bengkulu Selatan,Bengkulu
CUST000268,Kaur,Bengkulu
CUST000269,Kerinci,Jambi
CUST000270,Bukittinggi,Sumatera Barat
CUST000271,Kaur,Bengkulu
CUST000272,Kaur,Bengkulu
CUST000273,Sawahlunto,Sumatera Barat
CUST000274,Bintan,Kepulauan Riau
CUST000275,Bengkulu Utara,Bengkulu
CUST000276,Lhokseumawe,Aceh
CUST000277,Sungai Penuh,Jambi
CUST000278,Kepahiang,Bengkulu
CUST000279,Lingga,Kepulauan Riau
CUST000280,Prabumulih,Sumatera Selatan
CUST000281,Lampung Selatan,Lampung
CUST000282,Indragiri Hulu,Riau
CUST000283,Lampung Utara,Lampung
CUST000284,Solok,Sumatera Barat
CUST000285,Padangsidimpuan,Sumatera Utara
CUST000286,Belitung,Kepulauan Bangka Belitung
CUST000287,Bintan,Kepulauan Riau
CUST000288,Tebing Tinggi,Sumatera Utara
CUST000289,Kampar,Riau
CUST000290,Sungai Penuh,Jambi
CUST000291,Dumai,Riau
CUST000292,Banda Aceh,Aceh
CUST000293,Indragiri Hilir,Riau
CUST000294,Tanjungpinang,Kepulauan Riau
CUST000295,Lampung Selatan,Lampung
CUST000296,Batam,Kepulauan Riau
CUST000297,Bengkulu Tengah,Bengkulu
CUST000298,Rejang Lebong,Bengkulu
CUST000299,Solok,Sumatera Barat
CUST000300,Banda Aceh,Aceh
CUST000301,Rejang Lebong,Bengkulu
CUST000302,Pariaman,Sumatera Barat
CUST000303,Bangka Selatan,Kepulauan Bangka Belitung
CUST000304,Subulussalam,Aceh
CUST000305,Pelalawan,Riau
CUST000306,Pematangsiantar,Sumatera Utara
CUST000307,Pariaman,Sumatera Barat
CUST000308,Lampung Timur,Lampung
CUST000309,Bangka Tengah,Kepulauan Bangka Belitung
CUST000310,Bintan,Kepulauan Riau
CUST000311,Lampung Tengah,Lampung
CUST000312,Bangka Selatan,Kepulauan Bangka Belitung
CUST000313,Bangka Selatan,Kepulauan Bangka Belitung
CUST000314,Solok,Sumatera Barat
CUST000315,Lampung Selatan,Lampung
CUST000316,Muaro Jambi,Jambi
CUST000317,Pelalawan,Riau
CUST000318,Muaro Jambi,Jambi
CUST000319,Bangka Selatan,Kepulauan Bangka Belitung
CUST000320,Bengkalis,Riau
CUST000321,Bandar Lampung,Lampung
CUST000322,Sungai Penuh,Jambi
CUST000323,Batanghari,Jambi
CUST000324,Lahat,Sumatera Selatan
CUST000325,Binjai,Sumatera Utara
CUST000326,Bukittinggi,Sumatera Barat
CUST000327,Kaur,Bengkulu
CUST000328,Solok,Sumatera Barat
CUST000329,Pekanbaru,Riau
CUST000330,Bengkulu Tengah,Bengkulu
CUST000331,Lahat,Sumatera Selatan
CUST000332,Lampung Selatan,Lampung
CUST000333,Langsa,Aceh
CUST000334,Bengkulu Tengah,Bengkulu
CUST000335,Natuna,Kepulauan Riau
CUST000336,Subulussalam,Aceh
CUST000337,Bengkulu Tengah,Bengkulu
CUST000338,Lhokseumawe,Aceh
CUST000339,Muaro Jambi,Jambi
CUST000340,Kepahiang,Bengkulu
CUST000341,Bengkulu Utara,Bengkulu
CUST000342,Belitung Timur,Kepulauan Bangka Belitung
CUST000343,Batam,Kepulauan Riau
CUST000344,Metro,Lampung
CUST000345,Bungo,Jambi
CUST000346,Bandar Lampung,Lampung
CUST000347,Bengkulu Selatan,Bengkulu
CUST000348,Kaur,Bengkulu
CUST000349,Pariaman,Sumatera Barat
CUST000350,Metro,Lampung
CUST000351,Lingga,Kepulauan Riau
CUST000352,Sabang,Aceh
CUST000353,Lingga,Kepulauan Riau
CUST000354,Banda Aceh,Aceh
CUST000355,Rejang Lebong,Bengkulu
CUST000356,Metro,Lampung
CUST000357,Lhokseumawe,Aceh
CUST000358,Bengkulu Selatan,Bengkulu
CUST000359,Indragiri Hilir,Riau
CUST000360,Pagar Alam,Sumatera Selatan
CUST000361,Bengkulu Selatan,Bengkulu
CUST000362,Bengkulu Selatan,Bengkulu
CUST000363,Pematangsiantar,Sumatera Utara
CUST000364,Subulussalam,Aceh
CUST000365,Lhokseumawe,Aceh
CUST000366,Kampar,Riau
CUST000367,Tebing Tinggi,Sumatera Utara
CUST000368,Banda Aceh,Aceh
CUST000369,Dumai,Riau
CUST000370,Subulussalam,Aceh
CUST000371,Bukittinggi,Sumatera Barat
CUST000372,Payakumbuh,Sumatera Barat
CUST000373,Sibolga,Sumatera Utara
CUST000374,Indragiri Hilir,Riau
CUST000375,Muaro Jambi,Jambi
CUST000376,Lubuklinggau,Sumatera Selatan
CUST000377,Lingga,Kepulauan Riau
CUST000378,Tebing Tinggi,Sumatera Utara
CUST000379,Padangpanjang,Sumatera Barat
CUST000380,Sibolga,Sumatera Utara
CUST000381,Lhokseumawe,Aceh
CUST000382,Natuna,Kepulauan Riau
CUST000383,Bengkulu Tengah,Bengkulu
CUST000384,Pekanbaru,Riau
CUST000385,Natuna,Kepulauan Riau
CUST000386,Pekanbaru,Riau
CUST000387,Muaro Jambi,Jambi
CUST000388,Tanjungpinang,Kepulauan Riau
CUST000389,Tanjungpinang,Kepulauan Riau
CUST000390,Lahat,Sumatera Selatan
CUST000391,Kaur,Bengkulu
CUST000392,Palembang,Sumatera Selatan
CUST000393,Belitung,Kepulauan Bangka Belitung
CUST000394,Palembang,Sumatera Selatan
CUST000395,Kepahiang,Bengkulu
CUST000396,Bandar Lampung,Lampung
CUST000397,Bengkulu Selatan,Bengkulu
CUST000398,Lampung Timur,Lampung
CUST000399,Payakumbuh,Sumatera Barat
CUST000400,Solok,Sumatera Barat
CUST000401,Belitung,Kepulauan Bangka Belitung
CUST000402,Kerinci,Jambi
CUST000403,Belitung Timur,Kepulauan Bangka Belitung
CUST000404,Lampung Selatan,Lampung
CUST000405,Kepahiang,Bengkulu
CUST000406,Bintan,Kepulauan Riau
CUST000407,Ogan Komering Ilir,Sumatera Selatan
CUST000408,Pelalawan,Riau
CUST000409,Padangsidimpuan,Sumatera Utara
CUST000410,Metro,Lampung
CUST000411,Lampung Tengah,Lampung
CUST000412,Natuna,Kepulauan Riau
CUST000413,Bengkulu Selatan,Bengkulu
CUST000414,Sabang,Aceh
CUST000415,Lubuklinggau,Sumatera Selatan
CUST000416,Metro,Lampung
CUST000417,Ogan Komering Ilir,Sumatera Selatan
CUST000418,Batanghari,Jambi
CUST000419,Kerinci,Jambi
CUST000420,Kerinci,Jambi
CUST000421,Subulussalam,Aceh
CUST000422,Pekanbaru,Riau
CUST000423,Kampar,Riau
CUST000424,Bengkulu Tengah,Bengkulu
CUST000425,Belitung Timur,Kepulauan Bangka Belitung
CUST000426,Kampar,Riau
CUST000427,Lampung Timur,Lampung
CUST000428,Lampung Selatan,Lampung
CUST000429,Banda Aceh,Aceh
CUST000430,Sungai Penuh,Jambi
CUST000431,Kaur,Bengkulu
CUST000432,Bengkalis,Riau
CUST000433,Bintan,Kepulauan Riau
CUST000434,Lampung Tengah,Lampung
CUST000435,Bangka Barat,Kepulauan Bangka Belitung
CUST000436,Kaur,Bengkulu
CUST000437,Bangka Barat,Kepulauan Bangka Belitung
CUST000438,Musi Banyuasin,Sumatera Selatan
CUST000439,Lampung Barat,Lampung
CUST000440,Batanghari,Jambi
CUST000441,Pekanbaru,Riau
CUST000442,Bengkalis,Riau
CUST000443,Tanjungbalai,Sumatera Utara
CUST000444,Belitung Timur,Kepulauan Bangka Belitung
CUST000445,Bukittinggi,Sumatera Barat
CUST000446,Kampar,Riau
CUST000447,Lampung Barat,Lampung
CUST000448,Lingga,Kepulauan Riau
CUST000449,Bintan,Kepulauan Riau
CUST000450,Tebing Tinggi,Sumatera Utara
CUST000451,Bengkalis,Riau
CUST000452,Bengkalis,Riau
CUST000453,Padangpanjang,Sumatera Barat
CUST000454,Subulussalam,Aceh
CUST000455,Padangpanjang,Sumatera Barat
CUST000456,Banda Aceh,Aceh
CUST000457,Bangka Barat,Kepulauan Bangka Belitung
CUST000458,Solok,Sumatera Barat
CUST000459,Bandar Lampung,Lampung
CUST000460,Subulussalam,Aceh
CUST000461,Bungo,Jambi
CUST000462,Lampung Selatan,Lampung
CUST000463,Lubuklinggau,Sumatera Selatan
CUST000464,Lhokseumawe,Aceh
CUST000465,Bandar Lampung,Lampung
CUST000466,Pematangsiantar,Sumatera Utara
CUST000467,Bandar Lampung,Lampung
CUST000468,Natuna,Kepulauan Riau
CUST000469,Langsa,Aceh
CUST000470,Pariaman,Sumatera Barat
CUST000471,Bintan,Kepulauan Riau
CUST000472,Binjai,Sumatera Utara
CUST000473,Sibolga,Sumatera Utara
CUST000474,Bengkulu Utara,Bengkulu
CUST000475,Lingga,Kepulauan Riau
CUST000476,Pelalawan,Riau
CUST000477,Bangka Selatan,Kepulauan Bangka Belitung
CUST000478,Lampung Selatan,Lampung
CUST000479,Muaro Jambi,Jambi
CUST000480,Karimun,Kepulauan Riau
CUST000481,Kerinci,Jambi
CUST000482,Tanjungpinang,Kepulauan Riau
CUST000483,Natuna,Kepulauan Riau
CUST000484,Tebing Tinggi,Sumatera Utara
CUST000485,Kampar,Riau
CUST000486,Bengkalis,Riau
CUST000487,Binjai,Sumatera Utara
CUST000488,Dumai,Riau
CUST000489,Pangkalpinang,Kepulauan Bangka Belitung
CUST000490,Padang,Sumatera Barat
CUST000491,Bengkulu Tengah,Bengkulu
CUST000492,Karimun,Kepulauan Riau
CUST000493,Jambi,Jambi
CUST000494,Bengkalis,Riau
CUST000495,Merangin,Jambi
CUST000496,Bandar Lampung,Lampung
CUST000497,Bengkalis,Riau
CUST000498,Natuna,Kepulauan Riau
CUST000499,Indragiri Hilir,Riau
CUST000500,Sibolga,Sumatera Utara
CUST000501,Kampar,Riau
CUST000502,Padangpanjang,Sumatera Barat
CUST000503,Padang,Sumatera Barat
CUST000504,Langsa,Aceh
CUST000505,Kerinci,Jambi
CUST000506,Bintan,Kepulauan Riau
CUST000507,Bandar Lampung,Lampung
CUST000508,Lampung Timur,Lampung
CUST000509,Merangin,Jambi
CUST000510,Bengkulu Selatan,Bengkulu
CUST000511,Bangka Tengah,Kepulauan Bangka Belitung
CUST000512,Lampung Selatan,Lampung
CUST000513,Sibolga,Sumatera Utara
CUST000514,Sabang,Aceh
CUST000515,Lahat,Sumatera Selatan
CUST000516,Jambi,Jambi
CUST000517,Binjai,Sumatera Utara
CUST000518,Lingga,Kepulauan Riau
CUST000519,Lhokseumawe,Aceh
CUST000520,Tanjungpinang,Kepulauan Riau
CUST000521,Payakumbuh,Sumatera Barat
CUST000522,Belitung,Kepulauan Bangka Belitung
CUST000523,Lampung Barat,Lampung
CUST000524,Sawahlunto,Sumatera Barat
CUST000525,Kaur,Bengkulu
CUST000526,Bandar Lampung,Lampung
CUST000527,Lampung Barat,Lampung
CUST000528,Bengkulu Selatan,Bengkulu
CUST000529,Musi Banyuasin,Sumatera Selatan
CUST000530,Tebing Tinggi,Sumatera Utara
CUST000531,Padangpanjang,Sumatera Barat
CUST000532,Kaur,Bengkulu
CUST000533,Lampung Barat,Lampung
CUST000534,Kepahiang,Bengkulu
CUST000535,Pangkalpinang,Kepulauan Bangka Belitung
CUST000536,Bandar Lampung,Lampung
CUST000537,Pagar Alam,Sumatera Selatan
CUST000538,Palembang,Sumatera Selatan
CUST000539,Kepahiang,Bengkulu
CUST000540,Belitung Timur,Kepulauan Bangka Belitung
CUST000541,Subulussalam,Aceh
CUST000542,Lampung Selatan,Lampung
CUST000543,Langsa,Aceh
CUST000544,Bangka Barat,Kepulauan Bangka Belitung
CUST000545,Karimun,Kepulauan Riau
CUST000546,Lampung Utara,Lampung
CUST000547,Langsa,Aceh
CUST000548,Kerinci,Jambi
CUST000549,Padangpanjang,Sumatera Barat
CUST000550,Lampung Timur,Lampung
CUST000551,Bandar Lampung,Lampung
CUST000552,Subulussalam,Aceh
CUST000553,Kampar,Riau
CUST000554,Padangpanjang,Sumatera Barat
CUST000555,Pangkalpinang,Kepulauan Bangka Belitung
CUST000556,Bangka Selatan,Kepulauan Bangka Belitung
CUST000557,Binjai,Sumatera Utara
CUST000558,Pematangsiantar,Sumatera Utara
CUST000559,Tanjungbalai,Sumatera Utara
CUST000560,Payakumbuh,Sumatera Barat
CUST000561,Kerinci,Jambi
CUST000562,Bungo,Jambi
CUST000563,Lampung Selatan,Lampung
CUST000564,Indragiri Hilir,Riau
CUST000565,Bangka,Kepulauan Bangka Belitung
CUST000566,Rejang Lebong,Bengkulu
CUST000567,Lingga,Kepulauan Riau
CUST000568,Pariaman,Sumatera Barat
CUST000569,Padangsidimpuan,Sumatera Utara
CUST000570,Bengkulu Selatan,Bengkulu
CUST000571,Bangka Barat,Kepulauan Bangka Belitung
CUST000572,Lhokseumawe,Aceh
CUST000573,Muaro Jambi,Jambi
CUST000574,Lingga,Kepulauan Riau
CUST000575,Lampung Utara,Lampung
CUST000576,Payakumbuh,Sumatera Barat
CUST000577,Bangka Selatan,Kepulauan Bangka Belitung
CUST000578,Pagar Alam,Sumatera Selatan
CUST000579,Belitung Timur,Kepulauan Bangka Belitung
CUST000580,Bangka Selatan,Kepulauan Bangka Belitung
CUST000581,Lampung Barat,Lampung
CUST000582,Kampar,Riau
CUST000583,Indragiri Hulu,Riau
CUST000584,Rejang Lebong,Bengkulu
CUST000585,Bengkulu,Bengkulu
CUST000586,Musi Banyuasin,Sumatera Selatan
CUST000587,Lampung Timur,Lampung
CUST000588,Bengkulu Tengah,Bengkulu
CUST000589,Payakumbuh,Sumatera Barat
CUST000590,Langsa,Aceh
CUST000591,Bangka Tengah,Kepulauan Bangka Belitung
CUST000592,Ogan Komering Ilir,Sumatera Selatan
CUST000593,Tebing Tinggi,Sumatera Utara
CUST000594,Bandar Lampung,Lampung
CUST000595,Bangka Selatan,Kepulauan Bangka Belitung
CUST000596,Langsa,Aceh
CUST000597,Kepahiang,Bengkulu
CUST000598,Padang,Sumatera Barat
CUST000599,Lampung Utara,Lampung
CUST000600,Batanghari,Jambi
CUST000601,Natuna,Kepulauan Riau
CUST000602,Kaur,Bengkulu
CUST000603,Tebing Tinggi,Sumatera Utara
CUST000604,Ogan Komering Ilir,Sumatera Selatan
CUST000605,Bangka Selatan,Kepulauan Bangka Belitung
CUST000606,Musi Banyuasin,Sumatera Selatan
CUST000607,Lampung Utara,Lampung
CUST000608,Pangkalpinang,Kepulauan Bangka Belitung
CUST000609,Tanjungpinang,Kepulauan Riau
CUST000610,Kampar,Riau
CUST000611,Sungai Penuh,Jambi
CUST000612,Pematangsiantar,Sumatera Utara
CUST000613,Tebing Tinggi,Sumatera Utara
CUST000614,Pematangsiantar,Sumatera Utara
CUST000615,Solok,Sumatera Barat
CUST000616,Jambi,Jambi
CUST000617,Lhokseumawe,Aceh
CUST000618,Lhokseumawe,Aceh
CUST000619,Pagar Alam,Sumatera Selatan
CUST000620,Rejang Lebong,Bengkulu
CUST000621,Indragiri Hulu,Riau
CUST000622,Bengkulu Utara,Bengkulu
CUST000623,Bukittinggi,Sumatera Barat
CUST000624,Padang,Sumatera Barat
CUST000625,Karimun,Kepulauan Riau
CUST000626,Natuna,Kepulauan Riau
CUST000627,Indragiri Hilir,Riau
CUST000628,Batam,Kepulauan Riau
CUST000629,Indragiri Hilir,Riau
CUST000630,Bungo,Jambi
CUST000631,Merangin,Jambi
CUST000632,Sabang,Aceh
CUST000633,Merangin,Jambi
CUST000634,Bangka,Kepulauan Bangka Belitung
CUST000635,Pematangsiantar,Sumatera Utara
CUST000636,Lahat,Sumatera Selatan
CUST000637,Merangin,Jambi
CUST000638,Kaur,Bengkulu
CUST000639,Bungo,Jambi
CUST000640,Sungai Penuh,Jambi
CUST000641,Kepahiang,Bengkulu
CUST000642,Bandar Lampung,Lampung
CUST000643,Indragiri Hilir,Riau
CUST000644,Bintan,Kepulauan Riau
CUST000645,Bintan,Kepulauan Riau
CUST000646,Jambi,Jambi
CUST000647,Bengkulu Selatan,Bengkulu
CUST000648,Subulussalam,Aceh
CUST000649,Subulussalam,Aceh
CUST000650,Lampung Utara,Lampung
CUST000651,Muaro Jambi,Jambi
CUST000652,Indragiri Hulu,Riau
CUST000653,Lubuklinggau,Sumatera Selatan
CUST000654,Indragiri Hulu,Riau
CUST000655,Merangin,Jambi
CUST000656,Solok,Sumatera Barat
CUST000657,Tanjungbalai,Sumatera Utara
CUST000658,Lhokseumawe,Aceh
CUST000659,Bandar Lampung,Lampung
CUST000660,Bintan,Kepulauan Riau
CUST000661,Padang,Sumatera Barat
CUST000662,Batanghari,Jambi
