id_order,id_pelanggan,metode_pembayaran,banyak_cicilan,total_pembayaran,status_order,timestamp_pembelian,timestamp_persetujuan_toko,timestamp_pengiriman_ke_pelanggan,estimasi_sampai
ORD00000024,CUST007484,Cicilan,12,27390000.0,Selesai,2025-03-14 09:22:44,2025-03-14 12:19:44,2025-03-19 12:19:44,2025-03-26
ORD00000025,CUST008439,COD,0,3459000.0,Selesai,2024-10-09 09:22:44,2024-10-09 12:22:44,2024-10-11 12:22:44,2024-10-13
ORD00000026,CUST001352,Transfer Bank,0,29757000.0,Selesai,2024-07-09 09:22:44,2024-07-09 11:40:44,2024-07-10 11:40:44,2024-07-13
ORD00000027,CUST004551,Dompet Digital,0,24920000.0,Selesai,2024-12-18 09:22:44,2024-12-18 11:12:44,2024-12-19 11:12:44,2024-12-23
ORD00000028,CUST008411,Kartu Kredit,0,16305000.0,Dibatalkan,2025-01-04 09:22:44,2025-01-04 11:59:44,,
ORD00000029,CUST005321,Dompet Digital,0,3099000.0,Selesai,2024-07-29 09:22:44,2024-07-29 11:26:44,2024-07-31 11:26:44,2024-08-07
ORD00000030,CUST001552,Dompet Digital,0,5672000.0,Selesai,2025-03-03 09:22:44,2025-03-03 10:02:44,2025-03-08 10:02:44,2025-03-14
ORD00000031,CUST002895,Transfer Bank,0,13374000.0,Selesai,2025-04-09 09:22:44,2025-04-09 10:50:44,2025-04-12 10:50:44,2025-04-17
ORD00000032,CUST003286,Dompet Digital,0,7650000.0,Selesai,2024-07-25 09:22:44,2024-07-25 11:52:44,2024-07-29 11:52:44,2024-07-30
ORD00000033,CUST006132,Dompet Digital,0,11444000.0,Selesai,2024-05-26 09:22:44,2024-05-26 11:34:44,2024-05-30 11:34:44,2024-06-03
ORD00000034,CUST004913,Transfer Bank,0,4910000.0,Selesai,2024-12-03 09:22:44,2024-12-03 09:33:44,2024-12-04 09:33:44,2024-12-09
ORD00000035,CUST005065,Dompet Digital,0,21180000.0,Selesai,2025-01-27 09:22:44,2025-01-27 10:05:44,2025-01-30 10:05:44,2025-02-01
ORD00000036,CUST008346,COD,0,17364000.0,Dibatalkan,2024-12-07 09:22:44,2024-12-07 11:14:44,,
ORD00000037,CUST007241,Dompet Digital,0,18863000.0,Selesai,2024-12-16 09:22:44,2024-12-16 11:46:44,2024-12-20 11:46:44,2024-12-25
ORD00000038,CUST004970,Kartu Kredit,0,9355000.0,Selesai,2025-02-01 09:22:44,2025-02-01 11:51:44,2025-02-05 11:51:44,2025-02-08
ORD00000039,CUST002471,Dompet Digital,0,14583000.0,Selesai,2024-07-04 09:22:44,2024-07-04 10:53:44,2024-07-08 10:53:44,2024-07-15
ORD00000040,CUST008079,Cicilan,3,11079000.0,Selesai,2024-08-29 09:22:44,2024-08-29 11:46:44,2024-09-03 11:46:44,2024-09-04
ORD00000041,CUST005528,Cicilan,3,17551000.0,Selesai,2025-05-02 09:22:44,2025-05-02 11:57:44,2025-05-05 11:57:44,2025-05-10
ORD00000042,CUST003056,COD,0,9396000.0,Selesai,2024-09-24 09:22:44,2024-09-24 09:34:44,2024-09-25 09:34:44,2024-10-01
ORD00000043,CUST009903,Dompet Digital,0,4400000.0,Selesai,2024-06-15 09:22:44,2024-06-15 09:47:44,2024-06-16 09:47:44,2024-06-23
ORD00000044,CUST007780,COD,0,24118000.0,Selesai,2024-07-19 09:22:44,2024-07-19 10:28:44,2024-07-20 10:28:44,2024-07-27
ORD00000045,CUST008584,Transfer Bank,0,16859000.0,Selesai,2024-11-05 09:22:44,2024-11-05 11:00:44,2024-11-06 11:00:44,2024-11-12
ORD00000046,CUST009810,COD,0,10515000.0,Selesai,2024-06-18 09:22:44,2024-06-18 10:25:44,2024-06-22 10:25:44,2024-06-23
ORD00000047,CUST007701,Cicilan,12,23068000.0,Selesai,2024-08-08 09:22:44,2024-08-08 10:00:44,2024-08-10 10:00:44,2024-08-16
ORD00000048,CUST006003,Transfer Bank,0,7280000.0,Selesai,2024-11-17 09:22:44,2024-11-17 11:26:44,2024-11-22 11:26:44,2024-11-23
ORD00000049,CUST009871,COD,0,16443000.0,Selesai,2025-04-28 09:22:44,2025-04-28 11:04:44,2025-05-03 11:04:44,2025-05-06
ORD00000050,CUST002328,Transfer Bank,0,21713000.0,Selesai,2024-07-05 09:22:44,2024-07-05 10:49:44,2024-07-06 10:49:44,2024-07-12
ORD00000051,CUST004622,Kartu Kredit,0,16406000.0,Selesai,2024-09-06 09:22:44,2024-09-06 09:55:44,2024-09-11 09:55:44,2024-09-16
ORD00000052,CUST000254,Transfer Bank,0,3738000.0,Selesai,2024-10-29 09:22:44,2024-10-29 10:25:44,2024-10-30 10:25:44,2024-11-01
ORD00000053,CUST006360,Kartu Kredit,0,21724000.0,Selesai,2025-05-13 09:22:44,2025-05-13 10:41:44,2025-05-17 10:41:44,2025-05-23
ORD00000054,CUST005244,Dompet Digital,0,12792000.0,Selesai,2025-01-17 09:22:44,2025-01-17 10:30:44,2025-01-22 10:30:44,2025-01-25
ORD00000055,CUST005399,Dompet Digital,0,10317000.0,Selesai,2024-07-10 09:22:44,2024-07-10 10:01:44,2024-07-12 10:01:44,2024-07-17
ORD00000056,CUST004591,Transfer Bank,0,26045000.0,Selesai,2024-12-23 09:22:44,2024-12-23 11:25:44,2024-12-27 11:25:44,2024-12-29
ORD00000057,CUST007974,Transfer Bank,0,19991000.0,Selesai,2024-10-30 09:22:44,2024-10-30 10:45:44,2024-11-01 10:45:44,2024-11-06
ORD00000058,CUST007388,Dompet Digital,0,20716000.0,Dikembalikan,2024-08-24 09:22:44,2024-08-24 11:49:44,,
ORD00000059,CUST003390,Kartu Kredit,0,9062000.0,Dibatalkan,2024-08-02 09:22:44,2024-08-02 11:29:44,,
ORD00000060,CUST007797,Kartu Kredit,0,34123000.0,Selesai,2024-12-20 09:22:44,2024-12-20 10:02:44,2024-12-23 10:02:44,2024-12-28
ORD00000061,CUST004256,Cicilan,12,17300000.0,Selesai,2024-05-24 09:22:44,2024-05-24 10:55:44,2024-05-25 10:55:44,2024-05-31
ORD00000062,CUST009755,Dompet Digital,0,6924000.0,Selesai,2025-01-13 09:22:44,2025-01-13 11:34:44,2025-01-16 11:34:44,2025-01-19
ORD00000063,CUST003953,Kartu Kredit,0,13836000.0,Selesai,2025-02-14 09:22:44,2025-02-14 10:33:44,2025-02-16 10:33:44,2025-02-23
ORD00000064,CUST009941,Kartu Kredit,0,16356000.0,Selesai,2024-07-21 09:22:44,2024-07-21 11:32:44,2024-07-22 11:32:44,2024-07-26
ORD00000065,CUST002880,Kartu Kredit,0,12612000.0,Selesai,2024-07-13 09:22:44,2024-07-13 11:15:44,2024-07-18 11:15:44,2024-07-19
ORD00000066,CUST009317,Kartu Kredit,0,9198000.0,Selesai,2025-02-26 09:22:44,2025-02-26 09:30:44,2025-02-27 09:30:44,2025-03-02
ORD00000067,CUST001318,Transfer Bank,0,4632000.0,Selesai,2024-12-11 09:22:44,2024-12-11 10:16:44,2024-12-15 10:16:44,2024-12-22
ORD00000068,CUST003027,Dompet Digital,0,4091000.0,Selesai,2024-12-18 09:22:44,2024-12-18 11:24:44,2024-12-20 11:24:44,2024-12-23
ORD00000069,CUST007099,Kartu Kredit,0,7918000.0,Dibatalkan,2024-09-21 09:22:44,2024-09-21 11:49:44,,
ORD00000070,CUST005327,Cicilan,12,25147000.0,Selesai,2024-10-01 09:22:44,2024-10-01 09:42:44,2024-10-03 09:42:44,2024-10-06
ORD00000071,CUST007033,COD,0,7608000.0,Selesai,2024-06-20 09:22:44,2024-06-20 09:59:44,2024-06-24 09:59:44,2024-06-30
ORD00000072,CUST006122,Cicilan,6,13572000.0,Selesai,2024-06-01 09:22:44,2024-06-01 11:22:44,2024-06-02 11:22:44,2024-06-07
ORD00000073,CUST000356,Transfer Bank,0,5051000.0,Selesai,2024-08-15 09:22:44,2024-08-15 09:38:44,2024-08-20 09:38:44,2024-08-21
ORD00000074,CUST000534,Transfer Bank,0,2794000.0,Selesai,2024-10-11 09:22:44,2024-10-11 10:33:44,2024-10-16 10:33:44,2024-10-21
ORD00000075,CUST005858,Dompet Digital,0,10614000.0,Dibatalkan,2024-06-24 09:22:44,2024-06-24 09:37:44,,
ORD00000076,CUST003707,Transfer Bank,0,19585000.0,Selesai,2024-11-09 09:22:44,2024-11-09 10:39:44,2024-11-12 10:39:44,2024-11-19
ORD00000077,CUST002675,Cicilan,3,19798000.0,Selesai,2025-03-20 09:22:44,2025-03-20 11:16:44,2025-03-22 11:16:44,2025-03-23
ORD00000078,CUST003246,Cicilan,6,1687000.0,Selesai,2024-06-28 09:22:44,2024-06-28 11:30:44,2024-07-02 11:30:44,2024-07-05
ORD00000079,CUST001523,Cicilan,3,4878000.0,Selesai,2025-03-06 09:22:44,2025-03-06 10:19:44,2025-03-10 10:19:44,2025-03-13
ORD00000080,CUST006940,Cicilan,12,5865000.0,Dibatalkan,2024-10-08 09:22:44,2024-10-08 11:28:44,,
ORD00000081,CUST006976,Transfer Bank,0,9520000.0,Selesai,2024-07-21 09:22:44,2024-07-21 11:21:44,2024-07-23 11:21:44,2024-07-24
ORD00000082,CUST001001,Dompet Digital,0,9113000.0,Selesai,2024-08-26 09:22:44,2024-08-26 10:09:44,2024-08-27 10:09:44,2024-08-28
ORD00000083,CUST007236,Kartu Kredit,0,15874000.0,Selesai,2025-01-24 09:22:44,2025-01-24 11:58:44,2025-01-28 11:58:44,2025-02-03
ORD00000084,CUST008072,COD,0,9216000.0,Selesai,2024-06-11 09:22:44,2024-06-11 11:17:44,2024-06-15 11:17:44,2024-06-21
ORD00000085,CUST005805,Kartu Kredit,0,31472000.0,Selesai,2024-07-08 09:22:44,2024-07-08 10:58:44,2024-07-13 10:58:44,2024-07-14
ORD00000086,CUST002212,Cicilan,6,12818000.0,Selesai,2024-12-14 09:22:44,2024-12-14 10:11:44,2024-12-15 10:11:44,2024-12-21
ORD00000087,CUST005225,Kartu Kredit,0,19696000.0,Selesai,2024-11-28 09:22:44,2024-11-28 09:47:44,2024-12-03 09:47:44,2024-12-07
ORD00000088,CUST002753,COD,0,2442000.0,Selesai,2024-10-21 09:22:44,2024-10-21 11:21:44,2024-10-23 11:21:44,2024-10-28
ORD00000089,CUST000221,Kartu Kredit,0,14999000.0,Selesai,2025-03-27 09:22:44,2025-03-27 12:14:44,2025-03-31 12:14:44,2025-04-04
ORD00000090,CUST000645,Transfer Bank,0,4433000.0,Selesai,2024-05-30 09:22:44,2024-05-30 10:26:44,2024-06-04 10:26:44,2024-06-05
ORD00000091,CUST008827,Dompet Digital,0,5388000.0,Selesai,2025-04-03 09:22:44,2025-04-03 10:12:44,2025-04-05 10:12:44,2025-04-07
ORD00000092,CUST000767,COD,0,2496000.0,Selesai,2024-12-21 09:22:44,2024-12-21 09:32:44,2024-12-26 09:32:44,2024-12-28
ORD00000093,CUST000900,Dompet Digital,0,29047000.0,Selesai,2025-01-18 09:22:44,2025-01-18 11:18:44,2025-01-20 11:18:44,2025-01-24
ORD00000094,CUST006724,Dompet Digital,0,24161000.0,Selesai,2024-07-18 09:22:44,2024-07-18 09:30:44,2024-07-23 09:30:44,2024-07-26
ORD00000095,CUST008575,Transfer Bank,0,7242000.0,Selesai,2024-11-22 09:22:44,2024-11-22 11:29:44,2024-11-26 11:29:44,2024-12-03
ORD00000096,CUST007022,Dompet Digital,0,27161000.0,Selesai,2024-06-25 09:22:44,2024-06-25 11:28:44,2024-06-28 11:28:44,2024-07-05
ORD00000097,CUST003589,Dompet Digital,0,35673000.0,Selesai,2024-10-05 09:22:44,2024-10-05 10:55:44,2024-10-09 10:55:44,2024-10-16
ORD00000098,CUST007109,Transfer Bank,0,3448000.0,Dikembalikan,2025-05-17 09:22:44,2025-05-17 10:35:44,,
ORD00000099,CUST003722,Dompet Digital,0,10630000.0,Selesai,2025-02-01 09:22:44,2025-02-01 10:53:44,2025-02-04 10:53:44,2025-02-08
ORD00000100,CUST008008,Transfer Bank,0,7453000.0,Selesai,2025-04-17 09:22:44,2025-04-17 12:09:44,2025-04-21 12:09:44,2025-04-27
ORD00000101,CUST004201,COD,0,28733000.0,Selesai,2024-12-19 09:22:44,2024-12-19 11:26:44,2024-12-21 11:26:44,2024-12-27
ORD00000102,CUST002736,Cicilan,6,31662000.0,Selesai,2025-03-12 09:22:44,2025-03-12 09:55:44,2025-03-13 09:55:44,2025-03-20
ORD00000103,CUST000444,Kartu Kredit,0,26395000.0,Selesai,2024-12-09 09:22:44,2024-12-09 11:30:44,2024-12-13 11:30:44,2024-12-19
ORD00000104,CUST008387,Dompet Digital,0,19575000.0,Selesai,2025-01-07 09:22:44,2025-01-07 11:37:44,2025-01-12 11:37:44,2025-01-16
ORD00000105,CUST008439,COD,0,3152000.0,Dikembalikan,2025-05-11 09:22:44,2025-05-11 12:05:44,,
ORD00000106,CUST005287,Kartu Kredit,0,7256000.0,Selesai,2024-06-01 09:22:44,2024-06-01 12:18:44,2024-06-04 12:18:44,2024-06-09
ORD00000107,CUST006924,COD,0,17887000.0,Selesai,2025-05-14 09:22:44,2025-05-14 09:46:44,2025-05-19 09:46:44,2025-05-26
ORD00000108,CUST009525,Cicilan,12,22948000.0,Dibatalkan,2024-08-19 09:22:44,2024-08-19 11:37:44,,
ORD00000109,CUST003824,Transfer Bank,0,10672000.0,Selesai,2025-01-13 09:22:44,2025-01-13 09:50:44,2025-01-17 09:50:44,2025-01-23
ORD00000110,CUST003841,Dompet Digital,0,19791000.0,Selesai,2024-07-04 09:22:44,2024-07-04 12:19:44,2024-07-06 12:19:44,2024-07-09
ORD00000111,CUST004450,Dompet Digital,0,9307000.0,Selesai,2024-09-16 09:22:44,2024-09-16 11:50:44,2024-09-21 11:50:44,2024-09-27
ORD00000112,CUST008225,Dompet Digital,0,11112000.0,Selesai,2024-05-23 09:22:44,2024-05-23 11:05:44,2024-05-27 11:05:44,2024-06-02
ORD00000113,CUST001687,Cicilan,12,19483000.0,Selesai,2024-12-01 09:22:44,2024-12-01 12:13:44,2024-12-04 12:13:44,2024-12-11
ORD00000114,CUST001075,Cicilan,3,9230000.0,Selesai,2025-01-08 09:22:44,2025-01-08 10:07:44,2025-01-12 10:07:44,2025-01-14
ORD00000115,CUST009257,Dompet Digital,0,11744000.0,Selesai,2024-08-23 09:22:44,2024-08-23 12:11:44,2024-08-27 12:11:44,2024-09-02
ORD00000116,CUST002187,COD,0,4422000.0,Selesai,2024-05-29 09:22:44,2024-05-29 10:28:44,2024-06-03 10:28:44,2024-06-04
ORD00000117,CUST003013,COD,0,511000.0,Selesai,2025-04-14 09:22:44,2025-04-14 10:31:44,2025-04-17 10:31:44,2025-04-22
ORD00000118,CUST004887,COD,0,16437000.0,Selesai,2024-08-12 09:22:44,2024-08-12 12:15:44,2024-08-15 12:15:44,2024-08-17
ORD00000119,CUST004812,Dompet Digital,0,21037000.0,Selesai,2024-09-22 09:22:44,2024-09-22 11:03:44,2024-09-25 11:03:44,2024-09-27
ORD00000120,CUST003983,Kartu Kredit,0,33517000.0,Selesai,2024-12-11 09:22:44,2024-12-11 10:36:44,2024-12-16 10:36:44,2024-12-21
ORD00000121,CUST009527,Kartu Kredit,0,2226000.0,Selesai,2024-10-26 09:22:44,2024-10-26 11:52:44,2024-10-30 11:52:44,2024-11-06
ORD00000122,CUST003024,Kartu Kredit,0,25456000.0,Selesai,2024-08-13 09:22:44,2024-08-13 11:12:44,2024-08-18 11:12:44,2024-08-23
ORD00000123,CUST008982,Cicilan,12,21585000.0,Selesai,2024-09-24 09:22:44,2024-09-24 10:22:44,2024-09-27 10:22:44,2024-10-04
ORD00000124,CUST009962,Cicilan,12,31726000.0,Selesai,2024-09-24 09:22:44,2024-09-24 09:51:44,2024-09-27 09:51:44,2024-09-29
ORD00000125,CUST000554,Dompet Digital,0,13375000.0,Selesai,2024-10-13 09:22:44,2024-10-13 11:51:44,2024-10-14 11:51:44,2024-10-16
ORD00000126,CUST007124,Kartu Kredit,0,6613000.0,Selesai,2025-04-15 09:22:44,2025-04-15 10:50:44,2025-04-19 10:50:44,2025-04-22
ORD00000127,CUST000508,Cicilan,3,20613000.0,Selesai,2025-03-08 09:22:44,2025-03-08 11:31:44,2025-03-12 11:31:44,2025-03-16
ORD00000128,CUST007764,Transfer Bank,0,35703000.0,Selesai,2025-04-23 09:22:44,2025-04-23 11:00:44,2025-04-25 11:00:44,2025-05-01
ORD00000129,CUST000111,Dompet Digital,0,3580000.0,Selesai,2024-10-26 09:22:44,2024-10-26 10:30:44,2024-10-29 10:30:44,2024-11-02
ORD00000130,CUST006631,COD,0,3195000.0,Selesai,2024-07-09 09:22:44,2024-07-09 09:30:44,2024-07-10 09:30:44,2024-07-14
ORD00000131,CUST002939,Cicilan,12,31054000.0,Selesai,2024-06-13 09:22:44,2024-06-13 10:04:44,2024-06-16 10:04:44,2024-06-23
ORD00000132,CUST007066,Kartu Kredit,0,8849000.0,Selesai,2024-06-03 09:22:44,2024-06-03 11:20:44,2024-06-08 11:20:44,2024-06-12
ORD00000133,CUST005854,Kartu Kredit,0,20000000.0,Selesai,2024-07-05 09:22:44,2024-07-05 11:30:44,2024-07-07 11:30:44,2024-07-13
ORD00000134,CUST006430,Transfer Bank,0,7196000.0,Dibatalkan,2025-04-28 09:22:44,2025-04-28 11:00:44,,
ORD00000135,CUST007747,Cicilan,3,8774000.0,Selesai,2024-05-22 09:22:44,2024-05-22 09:39:44,2024-05-25 09:39:44,2024-05-26
ORD00000136,CUST008841,Cicilan,3,18938000.0,Selesai,2024-10-09 09:22:44,2024-10-09 09:31:44,2024-10-11 09:31:44,2024-10-16
ORD00000137,CUST006419,Dompet Digital,0,20052000.0,Selesai,2024-11-01 09:22:44,2024-11-01 10:07:44,2024-11-06 10:07:44,2024-11-12
ORD00000138,CUST008311,Cicilan,12,21353000.0,Dibatalkan,2024-06-17 09:22:44,2024-06-17 11:17:44,,
ORD00000139,CUST001519,Kartu Kredit,0,7455000.0,Selesai,2025-02-21 09:22:44,2025-02-21 12:08:44,2025-02-24 12:08:44,2025-03-03
ORD00000140,CUST009070,Kartu Kredit,0,5490000.0,Selesai,2024-11-10 09:22:44,2024-11-10 11:50:44,2024-11-11 11:50:44,2024-11-14
ORD00000141,CUST002604,Cicilan,6,25471000.0,Selesai,2024-08-04 09:22:44,2024-08-04 09:31:44,2024-08-07 09:31:44,2024-08-09
ORD00000142,CUST001310,Transfer Bank,0,15298000.0,Selesai,2025-01-03 09:22:44,2025-01-03 09:43:44,2025-01-06 09:43:44,2025-01-10
ORD00000143,CUST006298,Kartu Kredit,0,21549000.0,Selesai,2024-06-27 09:22:44,2024-06-27 11:43:44,2024-06-30 11:43:44,2024-07-01
ORD00000144,CUST004358,Transfer Bank,0,6418000.0,Selesai,2024-05-25 09:22:44,2024-05-25 12:06:44,2024-05-30 12:06:44,2024-06-04
ORD00000145,CUST005978,Dompet Digital,0,9325000.0,Selesai,2024-07-29 09:22:44,2024-07-29 09:32:44,2024-08-03 09:32:44,2024-08-06
ORD00000146,CUST009413,Transfer Bank,0,17109000.0,Selesai,2025-04-18 09:22:44,2025-04-18 10:14:44,2025-04-22 10:14:44,2025-04-23
ORD00000147,CUST003689,Transfer Bank,0,3390000.0,Selesai,2025-02-08 09:22:44,2025-02-08 09:50:44,2025-02-09 09:50:44,2025-02-14
ORD00000148,CUST008674,Dompet Digital,0,16871000.0,Selesai,2024-09-06 09:22:44,2024-09-06 10:39:44,2024-09-09 10:39:44,2024-09-16
ORD00000149,CUST005073,Transfer Bank,0,10837000.0,Selesai,2025-02-22 09:22:44,2025-02-22 11:15:44,2025-02-23 11:15:44,2025-02-27
ORD00000150,CUST005997,Dompet Digital,0,1506000.0,Dibatalkan,2025-02-03 09:22:44,2025-02-03 11:00:44,,
ORD00000151,CUST003775,COD,0,10198000.0,Selesai,2025-05-03 09:22:44,2025-05-03 12:09:44,2025-05-04 12:09:44,2025-05-08
ORD00000152,CUST007248,COD,0,15693000.0,Dibatalkan,2025-03-07 09:22:44,2025-03-07 10:34:44,,
ORD00000153,CUST009561,Cicilan,12,41141000.0,Selesai,2024-06-17 09:22:44,2024-06-17 10:48:44,2024-06-21 10:48:44,2024-06-22
ORD00000154,CUST006488,COD,0,551000.0,Selesai,2025-02-25 09:22:44,2025-02-25 09:28:44,2025-02-28 09:28:44,2025-03-06
ORD00000155,CUST001454,Transfer Bank,0,4977000.0,Selesai,2025-02-22 09:22:44,2025-02-22 10:34:44,2025-02-24 10:34:44,2025-03-03
ORD00000156,CUST007086,Kartu Kredit,0,17146000.0,Selesai,2025-01-26 09:22:44,2025-01-26 10:28:44,2025-01-28 10:28:44,2025-01-30
ORD00000157,CUST007540,Kartu Kredit,0,24047000.0,Selesai,2024-11-29 09:22:44,2024-11-29 12:05:44,2024-12-04 12:05:44,2024-12-10
ORD00000158,CUST006936,Kartu Kredit,0,15821000.0,Selesai,2025-04-01 09:22:44,2025-04-01 10:15:44,2025-04-03 10:15:44,2025-04-10
ORD00000159,CUST005430,Dompet Digital,0,11726000.0,Selesai,2024-11-01 09:22:44,2024-11-01 09:48:44,2024-11-04 09:48:44,2024-11-11
ORD00000160,CUST003306,Transfer Bank,0,23723000.0,Selesai,2025-02-27 09:22:44,2025-02-27 10:23:44,2025-02-28 10:23:44,2025-03-01
ORD00000161,CUST006786,Dompet Digital,0,2114000.0,Selesai,2025-02-04 09:22:44,2025-02-04 09:35:44,2025-02-08 09:35:44,2025-02-12
ORD00000162,CUST000858,Cicilan,6,24875000.0,Selesai,2024-09-19 09:22:44,2024-09-19 11:03:44,2024-09-20 11:03:44,2024-09-23
ORD00000163,CUST006886,COD,0,4490000.0,Selesai,2024-07-30 09:22:44,2024-07-30 11:02:44,2024-08-04 11:02:44,2024-08-05
ORD00000164,CUST008329,Dompet Digital,0,402000.0,Dibatalkan,2025-04-25 09:22:44,2025-04-25 10:58:44,,
ORD00000165,CUST007338,Cicilan,3,18852000.0,Selesai,2024-10-04 09:22:44,2024-10-04 10:47:44,2024-10-09 10:47:44,2024-10-13
ORD00000166,CUST004552,Cicilan,6,26394000.0,Selesai,2025-03-23 09:22:44,2025-03-23 09:46:44,2025-03-26 09:46:44,2025-03-31
ORD00000167,CUST008980,Transfer Bank,0,19170000.0,Selesai,2025-03-16 09:22:44,2025-03-16 11:43:44,2025-03-17 11:43:44,2025-03-23
ORD00000168,CUST002677,Dompet Digital,0,19837000.0,Dibatalkan,2024-07-30 09:22:44,2024-07-30 10:16:44,,
ORD00000169,CUST007555,Cicilan,12,9262000.0,Selesai,2025-02-03 09:22:44,2025-02-03 11:32:44,2025-02-04 11:32:44,2025-02-11
ORD00000170,CUST001105,Transfer Bank,0,9138000.0,Dikembalikan,2024-12-05 09:22:44,2024-12-05 11:40:44,,
ORD00000171,CUST006064,Cicilan,12,14144000.0,Selesai,2024-12-12 09:22:44,2024-12-12 10:45:44,2024-12-16 10:45:44,2024-12-22
ORD00000172,CUST003956,Kartu Kredit,0,14301000.0,Selesai,2024-05-22 09:22:44,2024-05-22 12:05:44,2024-05-26 12:05:44,2024-05-28
ORD00000173,CUST001371,Transfer Bank,0,4822000.0,Selesai,2024-12-03 09:22:44,2024-12-03 11:09:44,2024-12-05 11:09:44,2024-12-06
ORD00000174,CUST008087,COD,0,682000.0,Selesai,2024-11-17 09:22:44,2024-11-17 09:52:44,2024-11-19 09:52:44,2024-11-22
ORD00000175,CUST008537,Transfer Bank,0,14641000.0,Selesai,2024-12-19 09:22:44,2024-12-19 11:42:44,2024-12-21 11:42:44,2024-12-24
ORD00000176,CUST003303,Transfer Bank,0,911000.0,Selesai,2025-02-15 09:22:44,2025-02-15 11:11:44,2025-02-20 11:11:44,2025-02-24
ORD00000177,CUST004017,Dompet Digital,0,13202000.0,Selesai,2024-12-16 09:22:44,2024-12-16 10:16:44,2024-12-17 10:16:44,2024-12-22
